0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
101000000016921,20 MICRONS LTD,0,1,0.01,INE144J01027,0915-1530|1815-1915:,2026-07-30,,NSE:20MICRONS-EQ,10,10,16921,20MICRONS,16921,-1.0,XX,101000000016921,,1,2.0
10100000004,21ST CENTURY MGMT SERVICE,0,1,0.01,INE253B01015,0915-1530|1815-1915:,2026-07-30,,NSE:21STCENMGM-EQ,10,10,4,21STCENMGM,4,-1.0,XX,10100000004,,0,0.0
101000000013061,360 ONE WAM LIMITED,0,1,0.1,INE466L01038,0915-1530|1815-1915:,2026-07-30,,NSE:360ONE-EQ,10,10,13061,360ONE,13061,-1.0,XX,101000000013061,,1,3.2
1010000000762518,3B BLACKBIO DX LTD.,0,1,0.1,INE994E01018,0915-1530|1815-1915:,2026-07-30,,NSE:3BBLACKBIO-EQ,10,10,762518,3BBLACKBIO,762518,-1.0,XX,1010000000762518,,1,2.0
10100000006232,3I INFOTECH LIMITED,0,1,0.01,INE748C01038,0915-1530|1815-1915:,2026-07-30,,NSE:3IINFOLTD-EQ,10,10,6232,3IINFOLTD,6232,-1.0,XX,10100000006232,,0,0.0
1010000000474,3M INDIA LIMITED,0,1,5.0,INE470A01017,0915-1530|1815-1915:,2026-07-30,,NSE:3MINDIA-EQ,10,10,474,3MINDIA,474,-1.0,XX,1010000000474,,1,3.4
10100000002595,3P LAND HOLDINGS LIMITED,0,1,0.01,INE105C01023,0915-1530|1815-1915:,2026-07-30,,NSE:3PLAND-EQ,10,10,2595,3PLAND,2595,-1.0,XX,10100000002595,,0,0.0
1010000000445,5PAISA CAPITAL LIMITED,0,1,0.05,INE618L01018,0915-1530|1815-1915:,2026-07-30,,NSE:5PAISA-EQ,10,10,445,5PAISA,445,-1.0,XX,1010000000445,,1,2.0
101000000011868,63 MOONS TECHNOLOGIES LTD,0,1,0.05,INE111B01023,0915-1530|1815-1915:,2026-07-30,,NSE:63MOONS-EQ,10,10,11868,63MOONS,11868,-1.0,XX,101000000011868,,1,2.0
101000000020906,A2Z INFRA ENGINEERING LTD,0,1,0.01,INE619I01012,0915-1530|1815-1915:,2026-07-30,,NSE:A2ZINFRA-EQ,10,10,20906,A2ZINFRA,20906,-1.0,XX,101000000020906,,0,0.0
101000000012533,AAA TECHNOLOGIES LIMITED,0,1,0.01,INE0D0U01013,0915-1530|1815-1915:,2026-07-30,,NSE:AAATECH-EQ,10,10,12533,AAATECH,12533,-1.0,XX,101000000012533,,0,0.0
101000000023729,AADHAR HOUSING FINANCE L,0,1,0.05,INE883F01010,0915-1530|1815-1915:,2026-07-30,,NSE:AADHARHFC-EQ,10,10,23729,AADHARHFC,23729,-1.0,XX,101000000023729,,1,3.3
1010000000757579,AAKAAR MEDICAL TECHNO LTD,0,1600,0.05,INE1GYP01013,0915-1530|1815-1915:,2026-07-30,,NSE:AAKAAR-SM,10,10,757579,AAKAAR,757579,-1.0,XX,1010000000757579,,0,0.0
1010000000235,AAKASH EXPLORATION SER L,0,1,0.01,INE087Z01024,0915-1530|1815-1915:,2026-07-30,,NSE:AAKASH-EQ,10,10,235,AAKASH,235,-1.0,XX,1010000000235,,0,0.0
1010000000758120,AARADHYA DISPOSAL INDUS L,0,1200,0.05,INE124401014,0915-1530|1815-1915:,2026-07-30,,NSE:AARADHYA-SM,10,10,758120,AARADHYA,758120,-1.0,XX,1010000000758120,,0,0.0
10100000005248,AAREY DRUGS & PHARM LTD,0,1,0.01,INE198H01019,0915-1530|1815-1915:,2026-07-30,,NSE:AAREYDRUGS-BE,10,10,5248,AAREYDRUGS,5248,-1.0,XX,10100000005248,,0,0.0
1010000000761821,AARNAV FASHIONS LIMITED,0,1,0.01,INE750R01016,0915-1530|1815-1915:,2026-07-30,,NSE:AARNAV-EQ,10,10,761821,AARNAV,761821,-1.0,XX,1010000000761821,,0,0.0
10100000001030,AARON INDUSTRIES LIMITED,0,1,0.01,INE721Z01010,0915-1530|1815-1915:,2026-07-30,,NSE:AARON-EQ,10,10,1030,AARON,1030,-1.0,XX,10100000001030,,0,0.0
101000000017164,AARTECH SOLONICS LIMITED,0,1,0.01,INE01C001026,0915-1530|1815-1915:,2026-07-30,,NSE:AARTECH-BE,10,10,17164,AARTECH,17164,-1.0,XX,101000000017164,,0,0.0
10100000004481,AARTI DRUGS LTD.,0,1,0.05,INE767A01016,0915-1530|1815-1915:,2026-07-30,,NSE:AARTIDRUGS-EQ,10,10,4481,AARTIDRUGS,4481,-1.0,XX,10100000004481,,1,2.0
10100000007,AARTI INDUSTRIES LTD,0,1,0.05,INE769A01020,0915-1530|1815-1915:,2026-07-30,,NSE:AARTIIND-EQ,10,10,7,AARTIIND,7,-1.0,XX,10100000007,,1,2.9
101000000013868,AARTI PHARMALABS LIMITED,0,1,0.05,INE0LRU01027,0915-1530|1815-1915:,2026-07-30,,NSE:AARTIPHARM-EQ,10,10,13868,AARTIPHARM,13868,-1.0,XX,101000000013868,,1,2.9
101000000019233,AARTI SURFACTANTS LIMITED,0,1,0.05,INE09EO01013,0915-1530|1815-1915:,2026-07-30,,NSE:AARTISURF-EQ,10,10,19233,AARTISURF,19233,-1.0,XX,101000000019233,,0,0.0
101000000019073,AARVI ENCON LIMITED,0,1,0.01,INE754X01016,0915-1530|1815-1915:,2026-07-30,,NSE:AARVI-EQ,10,10,19073,AARVI,19073,-1.0,XX,101000000019073,,0,0.0
1010000000763800,AASTHA SPINTEX LIMITED,0,1,0.01,INE2FMX01012,0915-1530|1815-1915:,2026-07-30,,NSE:AASTHA-EQ,10,10,763800,AASTHA,763800,-1.0,XX,1010000000763800,,0,0.0
101000000016961,AATMAJ HEALTHCARE LIMITED,0,2000,0.05,INE0OB201016,0915-1530|1815-1915:,2026-07-30,,NSE:AATMAJ-SM,10,10,16961,AATMAJ,16961,-1.0,XX,101000000016961,,0,0.0
10100000005385,AAVAS FINANCIERS LIMITED,0,1,0.1,INE216P01012,0915-1530|1815-1915:,2026-07-30,,NSE:AAVAS-EQ,10,10,5385,AAVAS,5385,-1.0,XX,10100000005385,,1,3.2
10100000007759,ABAN OFFSHORE LTD.,0,1,0.01,INE421A01028,0915-1530|1815-1915:,2026-07-30,,NSE:ABAN-BE,10,10,7759,ABAN,7759,-1.0,XX,10100000007759,,0,0.0
1010000000762526,ABANS ENTERPRISES LTD.,0,1,0.01,INE365O01028,0915-1530|1815-1915:,2026-07-30,,NSE:ABANSENT-BE,10,10,762526,ABANSENT,762526,-1.0,XX,1010000000762526,,0,0.0
101000000013,ABB INDIA LIMITED,0,1,0.5,INE117A01022,0915-1530|1815-1915:,2026-07-30,,NSE:ABB-EQ,10,10,13,ABB,13,-1.0,XX,101000000013,,1,3.2
101000000017903,ABBOTT INDIA LIMITED,0,1,5.0,INE358A01014,0915-1530|1815-1915:,2026-07-30,,NSE:ABBOTINDIA-EQ,10,10,17903,ABBOTINDIA,17903,-1.0,XX,101000000017903,,1,3.7
101000000021614,ADITYA BIRLA CAPITAL LTD.,0,1,0.05,INE674K01013,0915-1530|1815-1915:,2026-07-30,,NSE:ABCAPITAL-EQ,10,10,21614,ABCAPITAL,21614,-1.0,XX,101000000021614,,1,3.1
1010000000759130,A B COTSPIN INDIA LIMITED,0,1,0.01,INE08PH01015,0915-1530|1815-1915:,2026-07-30,,NSE:ABCOTS-EQ,10,10,759130,ABCOTS,759130,-1.0,XX,1010000000759130,,0,0.0
101000000024308,ALLIED BLEND N DISTILS L,0,1,0.05,INE552Z01027,0915-1530|1815-1915:,2026-07-30,,NSE:ABDL-EQ,10,10,24308,ABDL,24308,-1.0,XX,101000000024308,,1,2.9
101000000030108,ADITYA BIRLA FASHION & RT,0,1,0.01,INE647O01011,0915-1530|1815-1915:,2026-07-30,,NSE:ABFRL-EQ,10,10,30108,ABFRL,30108,-1.0,XX,101000000030108,,1,3.0
101000000027284,ABHA POWER N STEEL LTD,0,1600,0.05,INE0UYG01015,0915-1530|1815-1915:,2026-07-30,,NSE:ABHAPOWER-SM,10,10,27284,ABHAPOWER,27284,-1.0,XX,101000000027284,,0,0.0
101000000027020,A B INFRABUILD LIMITED,0,1,0.01,INE00YB01025,0915-1530|1815-1915:,2026-07-30,,NSE:ABINFRA-EQ,10,10,27020,ABINFRA,27020,-1.0,XX,101000000027020,,1,2.0
1010000000756843,ADITYA BIRLA LIFES BRAN L,0,1,0.01,INE14LE01019,0915-1530|1815-1915:,2026-07-30,,NSE:ABLBL-EQ,10,10,756843,ABLBL,756843,-1.0,XX,1010000000756843,,1,3.3
10100000005549,ABM INTERNATIONAL LTD,0,1,0.01,INE251C01025,0915-1530|1815-1915:,2026-07-30,,NSE:ABMINTLLTD-EQ,10,10,5549,ABMINTLLTD,5549,-1.0,XX,10100000005549,,0,0.0
1010000000762528,A B M KNOWLEDGEWARE LTD.,0,1,0.01,INE850B01026,0915-1530|1815-1915:,2026-07-30,,NSE:ABMKNO-EQ,10,10,762528,ABMKNO,762528,-1.0,XX,1010000000762528,,0,0.0
10100000008588,A B N INTERCORP LIMITED,0,5000,0.05,INE982R01015,0915-1530|1815-1915:,2026-07-30,,NSE:ABNINT-IT,10,10,8588,ABNINT,8588,-1.0,XX,10100000008588,,0,0.0
1010000000625,ADITYA BIRLA REAL EST LTD,0,1,0.1,INE055A01016,0915-1530|1815-1915:,2026-07-30,,NSE:ABREL-EQ,10,10,625,ABREL,625,-1.0,XX,1010000000625,,1,2.9
10100000006018,ADIT BIRL SUN LIF AMC LTD,0,1,0.1,INE404A01024,0915-1530|1815-1915:,2026-07-30,,NSE:ABSLAMC-EQ,10,10,6018,ABSLAMC,6018,-1.0,XX,10100000006018,,1,3.0
101000000023786,ABS MARINE SERVICES LTD,0,500,0.05,INE0QRV01016,0915-1530|1815-1915:,2026-07-30,,NSE:ABSMARINE-ST,10,10,23786,ABSMARINE,23786,-1.0,XX,101000000023786,,0,0.0
101000000022,ACC LIMITED,0,1,0.1,INE012A01025,0915-1530|1815-1915:,2026-07-30,,NSE:ACC-EQ,10,10,22,ACC,22,-1.0,XX,101000000022,,1,3.6
10100000007053,ACCELYA SOLN INDIA LTD,0,1,0.1,INE793A01012,0915-1530|1815-1915:,2026-07-30,,NSE:ACCELYA-EQ,10,10,7053,ACCELYA,7053,-1.0,XX,10100000007053,,0,0.0
101000000020488,ACCENT MICROCELL LIMITED,0,500,0.05,INE0Q5D01013,0915-1530|1815-1915:,2026-07-30,,NSE:ACCENTMIC-SM,10,10,20488,ACCENTMIC,20488,-1.0,XX,101000000020488,,0,0.0
101000000021218,ACCORD SYNERGY LIMITED,0,2000,0.05,INE113X01015,0915-1530|1815-1915:,2026-07-30,,NSE:ACCORD-ST,10,10,21218,ACCORD,21218,-1.0,XX,101000000021218,,0,0.0
1010000000757024,ACCRETION PHARMA LIMITED,0,1200,0.05,INE0T8T01010,0915-1530|1815-1915:,2026-07-30,,NSE:ACCPL-ST,10,10,757024,ACCPL,757024,-1.0,XX,1010000000757024,,0,0.0
